"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"04-Dec-2020","    13177.40","    13280.05","    13152.85","    13258.55","      640514315","        36428.05"
"07-Dec-2020","    13264.85","    13366.65","    13241.95","    13355.75","      591722966","        33578.64"
"08-Dec-2020","    13393.85","    13435.45","    13311.05","    13392.95","      543165361","        33755.81"
"09-Dec-2020","    13458.10","    13548.90","    13449.60","    13529.10","      502605319","        28726.97"
"10-Dec-2020","    13488.50","    13503.55","    13399.30","    13478.30","      553402501","        30400.20"
"11-Dec-2020","    13512.30","    13579.35","    13402.85","    13513.85","      787707481","        33696.57"
"14-Dec-2020","    13571.45","    13597.50","    13472.45","    13558.15","      558390043","        28133.58"
"15-Dec-2020","    13547.20","    13589.65","    13447.05","    13567.85","      497600393","        30828.33"
"16-Dec-2020","    13663.10","    13692.35","    13606.45","    13682.70","      462151091","        27460.18"
"17-Dec-2020","    13713.55","    13773.25","    13673.55","    13740.70","      416008520","        27712.93"
"18-Dec-2020","    13764.40","    13772.85","    13658.60","    13760.55","      519393189","        34803.30"
"21-Dec-2020","    13741.90","    13777.50","    13131.45","    13328.40","      687255400","        38243.62"
"22-Dec-2020","    13373.65","    13492.05","    13192.90","    13466.30","      696197300","        36328.33"
"23-Dec-2020","    13473.50","    13619.45","    13432.20","    13601.10","      458651819","        27073.45"
"24-Dec-2020","    13672.15","    13771.75","    13626.90","    13749.25","      471367730","        24764.35"
"28-Dec-2020","    13815.15","    13885.30","    13811.55","    13873.20","      403634030","        20923.06"
"29-Dec-2020","    13910.35","    13967.60","    13859.90","    13932.60","      439593961","        25154.23"
"30-Dec-2020","    13980.90","    13997.00","    13864.95","    13981.95","      380681073","        24633.12"
"31-Dec-2020","    13970.00","    14024.85","    13936.45","    13981.75","      452410109","        26305.82"
"01-Jan-2021","    13996.10","    14049.85","    13991.35","    14018.50","      258090905","        15873.75"
"04-Jan-2021","    14104.35","    14147.95","    13953.75","    14132.90","      494999295","        28705.09"
"05-Jan-2021","    14075.15","    14215.60","    14048.15","    14199.50","      492475349","        30872.87"
"06-Jan-2021","    14240.95","    14244.15","    14039.90","    14146.25","      632323316","        34615.55"
"07-Jan-2021","    14253.75","    14256.25","    14123.10","    14137.35","      559173512","        33446.47"
"08-Jan-2021","    14258.40","    14367.30","    14221.65","    14347.25","      613472067","        37615.19"
"11-Jan-2021","    14474.05","    14498.20","    14383.10","    14484.75","      672878543","        40186.21"
"12-Jan-2021","    14473.80","    14590.65","    14432.85","    14563.45","      929566952","        44976.12"
"13-Jan-2021","    14639.80","    14653.35","    14435.70","    14564.85","      873956688","        44682.93"
"14-Jan-2021","    14550.05","    14617.80","    14471.50","    14595.60","      620194977","        37534.37"
"15-Jan-2021","    14594.35","    14617.45","    14357.85","    14433.70","      789557216","        39912.18"
"18-Jan-2021","    14453.30","    14459.15","    14222.80","    14281.30","      762043554","        41716.22"
"19-Jan-2021","    14371.65","    14546.05","    14350.85","    14521.15","      546108304","        33084.79"
"20-Jan-2021","    14538.30","    14666.45","    14517.55","    14644.70","      623069963","        34639.36"
"21-Jan-2021","    14730.95","    14753.55","    14517.25","    14590.35","      704646957","        41939.04"
"22-Jan-2021","    14583.40","    14619.90","    14357.75","    14371.90","      776750347","        45322.54"
"25-Jan-2021","    14477.80","    14491.10","    14218.60","    14238.90","      618631493","        42278.39"
"27-Jan-2021","    14237.95","    14237.95","    13929.30","    13967.50","      660711117","        40579.24"
"28-Jan-2021","    13810.40","    13898.25","    13713.25","    13817.55","      637871621","        39881.82"
"29-Jan-2021","    13946.60","    13966.85","    13596.75","    13634.60","      753206122","        46918.29"
"01-Feb-2021","    13758.60","    14336.35","    13661.75","    14281.20","      870529495","        51840.22"
"02-Feb-2021","    14481.10","    14731.70","    14469.15","    14647.85","      914965225","        58177.74"
"03-Feb-2021","    14754.90","    14868.85","    14574.15","    14789.95","      869477087","        49312.35"
"04-Feb-2021","    14789.05","    14913.70","    14714.75","    14895.65","      884686415","        47811.80"
"05-Feb-2021","    14952.60","    15014.65","    14864.75","    14924.25","      935629058","        54394.63"
"08-Feb-2021","    15064.30","    15159.90","    15041.05","    15115.80","      671242694","        40483.96"
"09-Feb-2021","    15164.15","    15257.10","    15064.30","    15109.30","      713279133","        41930.72"
"10-Feb-2021","    15119.05","    15168.25","    14977.20","    15106.50","      624791133","        40707.97"
"11-Feb-2021","    15073.25","    15188.50","    15065.40","    15173.30","      500122414","        30933.44"
"12-Feb-2021","    15186.20","    15243.50","    15081.00","    15163.30","      571808807","        32304.24"
