Company Name,Company Ticker,Investibility weighting factor,Total Shares,Market Cap,Market Share Price,Book Value,Sales (Rs Cr),,,,,Average Sales,Net Cash Flow (Rs Cr),,,,,Average NCF,Dividends (Rs Cr),,,,,Average Dividends,Book Value percentage,Sales percentage,Cash flow percentage,Dividend percentage,RAFI Fundamental Value ,Rafi adjustment factor Ci,Investible Rafi fundamental Value,Total issued Share Capital,Company value
,,,,,,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,,,,,,,,,
3M INDIA LTD,3MINDIA,0.25,11137286.47,29124.00411,26150,"2,104",2140,2363,2556,2809,2765,2526.6,257,373,45,-319,195,110.2,0,0,0,0,0,0,0.05%,0.000496491,0.001194559,0,7313.387847,0.251112032,1828.346962,,18283469619
ABB INDIA LIMITED,ABB,0.25,2168148056,6439.399725,29.7,3584,8642,6084,6690,7315,-,7182.75,615,302,-17,123,-,255.75,86.02,92.4,102.2,103.02,-,95.91,0.09%,0.001411449,0.00277231,0.000655953,14241.1906,2.211571141,3560.29765,,35602976499
ABBOTT INDIA LTD,ABBOTINDIA,0.25,21271715.73,31418.4305,14770.05,2262,2614,2903,3298,3679,4093,3317.4,91,62,-165,99,8,19,73.95,85.87,116.29,139.5,533.7,189.862,0.05%,0.000651887,0.000205958,0.001298515,6742.742843,0.214611065,1685.685711,,16856857108
ACC LTD,ACC,0.455,137640995,576.0275639,41.85,11872,10990,13285,14802,15658,-,13683.75,426,750,374,1559,-,777.25,322.42,489.72,258.4,261.63,-,333.0425,0.28%,0.002688931,0.008425328,0.002277763,40575.13404,70.43957022,18461.68599,,1.85E+11
ADANI GREEN ENERGY LIMITED,ADANIGREEN,0.251,1563754963,182912.418,1169.7,2155,0,10,1719,318,1247,658.8,0,6,31,71,91,39.8,0,0,0,0,0,0,0.05%,0.000129458,0.000431429,0,3586.816021,0.019609472,900.2908214,,9002908214
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,ADANIPORTS,0.363,1984838530,148793.4204,749.65,27780,"7,109","8,439","11,323","10,925","11,873","9,934",398,109,-127,"3,975","2,397",1350.4,231.76,273.84,404.14,39.9,639.71,317.87,0.66%,0.001952046,0.014638229,0.002173994,63512.86877,0.42685267,23055.17136,,2.31E+11
ADANI TRANSMISSION LIMITED,ADANITRANS,0.251,1099379085,89379.5196,813,8386,"2,194","2,876","3,944","7,305","11,416","5,547",6,4,596,-421,"1,045",246,0,0,0,0,0,0,0.20%,0.001090016,0.00266662,0,19204.43506,0.214863932,4820.3132,,48203131999
ALKEM LABORATORIES LIMITED,ALKEM,0.376,119453755.1,33267.8708,2785,6997,905,"5,688","6,401","7,357","8,344","5,739",3,40,0,82,-73,10.4,148.4,178.4,157.75,190.25,304.29,195.818,0.17%,0.001127745,0.000112735,0.001339249,10630.94923,0.319556045,3997.236909,,39972369094
AMBUJA CEMENTS LTD,AMBUJACEM,0.367,1963807255,56164.8875,286,24781,"20,094","23,609","26,041","27,104",-,"24,212","-2,312","1,663",220,"2,919",-,623,52.5,712.52,304.78,293.3,-,340.775,0.59%,0.004757789,0.00674785,0.002330647,49400.61954,0.879564114,18130.02737,,1.81E+11
