Security Code,Security Id,Security Name
500002,ABB,ABB India Limited
500003,AEGISLOG,AEGIS LOGISTICS LTD.
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.
500027,ATUL,ATUL LTD.
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited
500033,FORCEMOT,FORCE MOTORS LTD.-$
500034,BAJFINANCE,Bajaj Finance Limited
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.
500042,BASF,BASF INDIA LTD.
500043,BATAINDIA,BATA INDIA LTD.
500048,BEML,BEML LTD.
500049,BEL,BHARAT ELECTRONICS LTD.
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$
500067,BLUESTARCO,BLUE STAR LTD.
500084,CESC,CESC LTD.
500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.
500086,EXIDEIND,EXIDE INDUSTRIES LTD.
500087,CIPLA,CIPLA LTD.
500092,CRISIL,CRISIL LTD.
500096,DABUR,DABUR INDIA LTD.
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd
500101,ARVIND,ARVIND LTD.
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.
500106,IFCI,IFCI LTD.
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.
500112,SBIN,STATE BANK OF INDIA
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.
500114,TITAN,Titan Company Limited
500116,IDBI,IDBI BANK LTD.
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$
500124,DRREDDY,DR.REDDY&#39;S LABORATORIES LTD.
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.
500126,PGHL,Procter & Gamble Health Ltd
500133,ESABINDIA,ESAB INDIA LTD.
500135,EPL,EPL Ltd
500144,FINCABLES,FINOLEX CABLES LTD.
500148,UFLEX,UFLEX LTD.
500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.
500164,GODREJIND,GODREJ INDUSTRIES LTD.
500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.
500168,GOODYEAR,GOODYEAR INDIA LTD.
500171,GHCL,GHCL LTD.
500173,GFLLIMITED,GFL Ltd
500180,HDFCBANK,HDFC Bank Ltd
500182,HEROMOTOCO,HERO MOTOCORP LTD.
500183,HFCL,HFCL Ltd
500184,HSCL,Himadri Speciality Chemical Ltd
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.
500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.
500188,HINDZINC,HINDUSTAN ZINC LTD.
500201,INDIAGLYCO,INDIA GLYCOLS LTD.
500209,INFY,INFOSYS LTD.
500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.
500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$
500215,ATFL,AGRO TECH FOODS LTD.
500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.
500227,JINDALPOLY,JINDAL POLY FILMS LTD.
500228,JSWSTEEL,JSW STEEL LTD.
500233,KAJARIACER,KAJARIA CERAMICS LTD.
500235,KSL,KALYANI STEELS LTD.
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.
500249,KSB,KSB Ltd
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.
500251,TRENT,TRENT LTD.
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.
500257,LUPIN,LUPIN LTD.
500260,RAMCOCEM,The Ramco Cements Limited
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.
500271,MFSL,Max Financial Services Ltd
500285,SPICEJET,SPICEJET LTD.
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.
500290,MRF,MRF LTD.
500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.
500294,NCC,NCC Limited
500295,VEDL,Vedanta Limited
500298,NATPEROX,NATIONAL PEROXIDE LTD.
500300,GRASIM,GRASIM INDUSTRIES LTD.
500302,PEL,PIRAMAL ENTERPRISES LTD.
500304,NIITLTD,NIIT LTD.
500307,NIRLON,NIRLON LTD.
500312,ONGC,Oil and Natural Gas Corporation Ltd
500325,RELIANCE,RELIANCE INDUSTRIES LTD.
500330,RAYMOND,RAYMOND LTD.
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.
500335,BIRLACORPN,BIRLA CORPORATION LTD.
500336,SURYAROSNI,SURYA ROSHNI LTD.
500338,PRSMJOHNSN,Prism Johnson Ltd
500339,RAIN,Rain Industries Ltd
500355,RALLIS,RALLIS INDIA LTD.
500378,JINDALSAW,JINDAL SAW LTD.
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.
500387,SHREECEM,SHREE CEMENT LTD.
500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.
500400,TATAPOWER,TATA POWER CO.LTD.
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.
500404,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.
500405,SUPPETRO,SUPREME PETROCHEM LTD.
500407,SWARAJENG,SWARAJ ENGINES LTD.
500408,TATAELXSI,TATA ELXSI LTD.
500410,ACC,ACC LTD.
500411,THERMAX,THERMAX LTD.
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.
500413,THOMASCOOK,THOMAS COOK (INDIA) LTD.
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.
500425,AMBUJACEM,AMBUJA CEMENTS LTD.
500440,HINDALCO,HINDALCO INDUSTRIES LTD.
500444,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.
500459,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
